gene,de_coef,de_pval,dv_coef,dv_pval,de_fdr,dv_fdr,isgf3_binding,gene_type,ct
RAP1A,-0.5791048019453356,9.544636712282763e-08,0.007266628037852091,0.4232,1.232826716256713e-06,0.7856434517766497,False,upreg,cM
RHOC,0.1325624773583309,0.10378962103789621,0.5441464115044754,0.0014,0.11919487296553363,0.02905,False,upreg,cM
BCAS2,-0.5020471384058259,1.3138901404069956e-06,-0.11286076089134227,0.4424,4.484417563333036e-06,0.7979130268199234,False,upreg,cM
CSDE1,-0.6914137626359194,9.60151911191141e-06,-0.44498218818806323,0.9312,1.7138195404056926e-05,0.9819168112040498,False,upreg,cM
ATP1A1,-0.9784804788017745,9.799424502701445e-08,0.554000120858629,0.2908,1.2340516649608856e-06,0.6941186928104576,False,upreg,cM
CD58,-0.43197025537983536,6.119141852568529e-06,-0.13800328832578976,0.8724,1.1969899316836609e-05,0.9584851985559566,False,upreg,cM
PDE4DIP,0.31290782723702676,0.00011661996025632369,-0.48246757577576793,0.32936706329367066,0.00017657383700501414,0.7273031986209538,False,upreg,cM
NOTCH2NL,0.22334759186298958,0.015198480151984802,0.18144748451453147,0.6818,0.01908694962690801,0.8951310062808147,False,upreg,cM
NBPF10,-0.10785080087491275,0.3642,-0.057747637669827885,0.07540754075407541,0.3925792207792208,0.3934119126198334,False,upreg,cM
TXNIP,0.5937632557688125,1.8690869286928298e-06,-0.2300926632470338,0.7057294270572942,5.509719002209066e-06,0.901420487804878,True,ISGF3,cM
POLR3GL,-0.16739024381417408,0.15198480151984803,-0.2903713693907542,0.3214,0.17184163936547522,0.7241000625881383,False,upreg,cM
RBM8A,-0.6234385288856241,1.0886164209521035e-06,-0.1785991402495878,0.7228,4.015785019512204e-06,0.9066171350239891,True,ISGF3,cM
SF3B4,-0.31059713897818486,2.8578387351830633e-06,0.03443952886298595,0.2602,6.987085860043284e-06,0.6697047887323944,False,upreg,cM
PLEKHO1,0.4213582384309032,1.25436567483354e-06,0.0604654432576533,0.698,4.358643739002787e-06,0.8990723598775554,False,upreg,cM
APH1A,-0.03399685122695115,0.6801319868013199,-0.038973716416353235,0.7356,0.7044361927959218,0.9112656716417911,False,upreg,cM
